,id,context,question,answer0,answer1,answer2,answer3,label,pred_bert,logits_bert,pred_roberta,logits_roberta
2409,388FBO7JZT7LTLQ0C60TD9MIVDCNYX##3PQ8K71NH0ZG04W2DYNAD1G0KA7AAT##A2KYOM2ZGYDJGT##Blog_824051##q1_a1##3Z33IC0JC20J0PR16LU4O9N48HN9VP,"I nearly hugged the woman who interviewed me ... Right now I ' m filling in at an office in Frisco , which took me an hour to get to ..... still getting used to the roads having more than one name down here . I get to sit here at this office which is in a neighborhood with about 600 new houses and watch the phone to see if it rings . Exciting .",What 's a possible reason it took the writer an hour to get to the office ?,Because the writer gets to sit in an office .,Because the writer nearly hugged the woman who interviewed them .,Because the writer is filling in .,Because they got lost .,3,2,[-4.934 -5.85  -4.406 -5.06 ],2,[-31.082926 -29.996822 -23.575584 -29.59422 ]
2411,3XDJY5RK5SJ3WFXI02C8JHMXFVTU4W##3U5JL4WY5L7YZ3P7VATXS8HPMEFX4Y##AJ7NSZOAFP05U##Blog_179947##q1_a1##32W3UF2EZQZM4AFPY938H9OZ17VC4D,"Last week 4 co - workers carpooled to a meeting which was about 1/2 hour drive away . All was fine , I was driving my 4 door car , it was a super nice day , we had the windows & sunroof open , the radio on for background music , and we had some conversation . After being in the car for less than 5 minutes , one female co - worker had to make a cell phone call that will be ' just a minute ' .",What happened during the carpool   ride with your co - workers ?,"I ended up taking a phone call , which I thought would take "" just a minute "" , but it took too long and everyone was late for work after that .",None of the above choices .,Tons of other employees rode in the car with me to work .,We took a 1/2 hour detour to a fancy meeting about the music industry .,2,0,[ 1.242 -3.07  -2.37  -2.916],0,[-18.110422 -24.538307 -23.629377 -29.177599]
2415,32FESTC2NHO6RJAXTHIQ2FYL78ACUR##338JKRMM27XGF259Z7L22PFVPI7AHB##A29RROPO0Z90XV##Blog_921892##q2_a1##341H3G5YF2SIDF8Y7M0EG4Z7TDZZ0H,"That idea still weirds me out . I made a blanket for the baby 's older sister before she was born but I completely spaced that this one was on the way , caught up in my own dramas and whatnot . Luckily , I had started a few rows in white just to learn a stitch ages ago , and continuing that stitch will make an acceptable woobie , I think .",What did I make for the baby .,I made a carseat .,None of the above choices .,I made a crb .,I finished a pair of booties .,3,1,[-5.34  -2.25  -2.668 -6.58 ],1,[-32.221252 -25.848997 -30.720081 -31.65052 ]
2426,3YGE63DIN8VZPV4MC147P2HHJ9AW0N##30LSNF239VTR6ULPSAA8WJXCFVX2I6##A1S1K7134S2VUC##Blog_726398##q1_a2##3VMHWJRYHXUK5ON99MVEMQ60RM4FXW,"He wants to be in a band , He wants a mustang for his first car , and we both want to see each other when we get older . He lives in Missouri . And I live in California .",How old is the boy that lives in Missouri ?,None of the above choices .,"The boy knows a girl in California , so he travels extensively , that make him older than 18 .",The boy wants to be in a band and therefore is over 21 .,The boy is under 16 years old because he does not have a mustang .,3,2,[-1.866  -1.873   0.1693 -2.438 ],1,[-26.954487 -22.037407 -26.343351 -25.015463]
2447,36QZ6V158BR1SPY0A1KQ9IQBMVHUS4##3VFJCI1K42E99CVM19164DGDJ74RGN##A2KYOM2ZGYDJGT##Blog_739412##q1_a1##3FSEU3P2NTEXBI66RIPGEXYVTZXRRM,"The first annual All Points West music festival goes down this weekend in Jersey City 's Liberty State Park . Here are some tips on food spots and parking situations for all of you making the trek to the festival . First off , parking . Parking is nearly impossible in the area without a permit .",Why am I offering some tips on food spots and parking situations ?,Because it 's the first annual All Points West music festival .,Because the festival is in Jersey City .,None of the above choices .,Because the festival is this weekend .,2,3,[-3.705 -2.441 -2.488 -1.641],3,[-22.883804 -28.305021 -24.35846  -21.529123]
2451,3UV0D2KX1MHEDX0S5DH9XHLU5FJF41##3FQ5JJ512MME1B06EWT41NFNIFVNKH##AJ7NSZOAFP05U##Blog_45213##q1_a1##3QI9WAYOGSPGQE8ZEJMNTCCVJ45S6W,"However , my Dad is a keen reader , so of course picked up the book and had a good look at it , unnervingly leafing through it until I grabbed it from him , threw my parents ' annoyingly scrabbly dog from my lap for the 107th time , and then confused everyone in the room by flicking crazily through the pages , trying desperately to find the scan before I not - so - spontaneously combusted . Once it was in my hand , all I could do was wave it in the air and shriek "" WE'RE HAVING A BABY ! ! "" with zero dignity at all , whatsoever .",What might be the reason why you had to furiously skim through the book ?,I was attempting to be a faster reader then my dad .,My father was about to find an important message he was n't supposed to see .,My father could n't find the important message inside of it .,None of the above choices .,2,1,[-2.674   4.992   3.703  -0.9136],0,[-21.259531 -25.208258 -25.530046 -26.403847]
2470,311HQEI8RUUWVQ8ISLLNVJ9U1O37ZH##30JNVC0ORCZNX7BX80UOKNI91F3QHV##A2KYOM2ZGYDJGT##Blog_823772##q1_a1##39XCQ6V3K0IFKCAO2N9F01235S456U,Yesterday I officially met my first bear . I had the afternoon off of work and was driving in Leavenworth on East Leavenworth Road and came across a furry brown bear . He had ran across the road about 20 yards in front of my car . As I approached where he was sitting on the bank of the road he just sat and watched me .,What 's a possible reason the writer had an afternoon off of work ?,None of the above choices .,Because they met their first bear .,Because they were on East Leavenworth road .,Because there was no work to get done .,3,0,[-2.717 -3.363 -5.496 -5.164],0,[-26.025856 -27.859612 -31.736742 -30.355316]
2480,36GJS3V78X4PO4EF32MVD2YXHBUGJT##3IO1LGZLKCC1UERKQNMK158J0V1863##A33PQXKQHFVF3V##Blog_861767##q1_a1##38F60IALAIVMR3ZZ1UBWUGYR99J0TV,"Apparently the power supply or some such shyte is out on our computer . It just stopped working , so not much net access right now . I ' ve been over at my mom 's almost nightly working on my homework .",What would not having power to my computer cause problems with ?,I would n't be able to browse the internet without power .,"Computers are an integral part of our lives , what would we do without them ?",I would n't be able to do my homework without internet access .,None of the above choices .,2,1,[0.9863 4.414  0.393  0.297 ],0,[-14.889341 -16.821033 -17.462318 -24.478779]
2482,3FTID4TN8NCV5LNF0TKE0HITQICLYT##3JCG6DTRV650A0A0RQHIT1AASCYQQA##A2MHM7JK1T9XHR##Blog_75336##q2_a1##3MGHRFQY2N3I8PYTB0YV2XQ5NUUY0A,"I have been blurring my roles as a visual artist , writer , performer and speaker , consultant , advisor , and coach , exploring the application of arts - based processes to business . Over the years , I have developed what my friend , David Barry , calls "" the art mind . "" It is a way of thinking -- not just only looking at what is at face value , but also taking unexpected and curious detours , paths that an artist has learned to trust , knowing that each step is part of an unfolding process . It is an approach that delivers results that often exceed initial expectations .",What may happen after I blur my roles ?,I may advise David on his art,None of the above choices .,I may become a motivational speaker,I may become a consultant for a start - up,3,1,[-2.188 -1.908 -3.02  -3.744],0,[-22.358307 -26.417116 -27.176262 -26.921957]
2496,3VIVIU06FMQTL3QVWNZQE63UZDHIMG##3SLE99ER0QSMKM92V435P5RFADXBZN##A2LTOS0AZ3B28A##Blog_201521##q2_a1##30UZJB2POJQGNTN6JLBHTYQJVYO534,"But it was resolved without too much bloodshed . SNORING . - throw three snorers - two of which were severe to extreme and the whole room starts to vibrate . But for once - I was n't the worst , which was a mildly amusing concept for the doctor . Con FUNK . Yes , I haz it .",Why were they taking the sleep test ?,They can make the room sjake with their snoring and wanted to know why .,None of the above choices .,They wanted to please the doctor .,They wanted to feel the room vibrate from all the snoring .,0,1,[-1.318   0.0601 -2.754  -2.963 ],2,[-25.854763 -24.755833 -24.395176 -31.60466 ]
2500,3VP28W7DUPY9AJNOA4JZJBMBY46FZW##3L0KT67Y8HVLWIGZA4NH1NSD606YSV##AO33H4GL9KZX9##Blog_1254854##q1_a1##33KGGVH24WVTF9T12NGTXO26QA41XW,There was a set of keys taped to the mirror and a little note below the key . The note read : Sleep an extra 30 . Take my car . My eyes fluttered to the reflection of an obviously unawoken Mike still tangled in the sheets and clutching a pillow .,Who might have left the note on the mirror ?,I   might have left the note so Mike can use the car when he wakes up .,Mike who 's still asleep might have left the note so I wo n't use his car .,Mike who 's still asleep might have left the note so I can use his car .,None of the above choices .,2,3,[-4.06  -2.822 -3.188 -2.697],0,[-20.784733 -23.170925 -21.68403  -26.542452]
2503,3K3G488TR26T05U1XYBDE8VMCB1Q5L##35H6S234SBY3C79B8S3HXNAJPMR65U##A1I72NHC21347A##Blog_156146##q1_a1##3Y3CZJSZ9M786V88UBCDBWTZ1695R1,"Then the next day we went to MGM for most of the day , where Devon and I hung out with the theater people that she sucks up to , which was mostly fun . Except they went on Tower of Terror like four times , during which I waited outside , and the last time there was hardly any shade left to sit in . And we went on a grand total of three rides ( one of which I went on ) and saw the Ariel show .",What might have happened if we did not visit MGM ?,None of the above choices .,We would ride on Tower of Terror,We would hang out with theater people,Devon woul dnot ride on Tower of Terror,3,1,[-2.37  -2.354 -3.635 -3.018],0,[-26.888771 -29.52509  -29.48109  -29.266468]
2528,3PA41K45VPI2HM6C5CNL4L7GRVI7PU##3EF8EXOTT4AV79M6BL7UVZQG6LRJ1Q##A394JO4NEPCY3M##Blog_861482##q1_a2##3SZYX62S5IEYOCOTLXE76F2Z04957G,"The CEO of the company himself told Jeramy he wants him as Foreman . Because of the raise , the night shift differential , and the time and a half overtime 5 hours or more a week , on his own he will now make more than we made combined when I was working full time . Which means if I get the library job we will be setting aside quite a savings and perhaps would be in a position to buy a house next spring .",What might be different if Jeremy was n't a foreman ?,They would not be setting aside savings,They would be making more money,They would be able to buy a house,None of the above choices .,0,1,[-3.604 -0.902 -4.54  -2.541],1,[-27.857477 -24.031582 -25.796234 -26.778425]
2535,311HQEI8RUUWVQ8ISLLNVJ9UZ1AZ74##32Z9ZLUT1OZKCVYHTN2KVIN9I0XOH1##A1I72NHC21347A##Blog_800846##q1_a2##3UQ1LLR26CMU93PCKN6YXV0MNR8LAI,"Even if I do n't have an active pimple , there are these little bumps that are just filled with nothing and makes it look like I have an uneven complexion . Then add to that the scars on my face and the oiliness :( I was really excited to go on BCP actually . I wanted to go on it since I was about 16 and now that I have and I had all this hope for a clear complexion I have to deal with weight gain .",What happened after I started taking BCP to help with complexion ?,All the little bumps are gone and I am losing weight,None of the above choices .,"BCP caused another issue , weight gain",It works wonders on complexion without affecting anything else,2,3,[0.9688 0.283  0.9556 1.113 ],3,[-24.348145 -24.864313 -21.47801  -21.017773]
2542,3PKVGQTFIJY68JIS5DHAMTRSWH9YRI##3GNCZX450L2NN8242H573W5VKU3PAH##A2KYOM2ZGYDJGT##Blog_1259718##q1_a1##32TZXEA1ONY2H75RICEO0D58XNK14I,"I know this is going to happen , and that people are shocked because so many people loved him , but they do n't understand that a simple , I ' m so sorry is sufficient and how going on and on hurts me so much and is so hard to handle . Over the past few months I have read many times since my husband passed away about the different stages of Grief , and I always saw "" Anger "" as one listed . I remembered as a child how I overheard my Aunt saying how angry she was with my Uncle for dying and leaving her with 4 small children to raise alone .","Why is a simple "" I 'm so sorry "" sufficient ?",Because that 's all I expect from people .,Because many people loved him .,None of the above choices .,Because people are shocked .,0,2,[-1.576  -5.312  -0.6343 -3.588 ],1,[-29.245796 -20.33351  -24.916159 -31.1039  ]
2554,3CMV9YRYP5F5AWSGETJBQU35DGGLJG##3MD9PLUKKLTOLVYZYU8EG0R9SE5ZNJ##A1OPGPTQJ48XOY##Blog_260799##q1_a1##3JYPJ2TAYKMFWFLINVLXSDKXPSTFPG,"We have dogs ... lots of hair flying around the place and they are very curious . ( into everything all the time ) . Therefore , I wanted a place where pets and kids could n't get into and mess up my folded diapers !",What did you do to store those diapers ?,I put the diapers in a small box on the couch,I found a cabinet high up off the ground which they were not able to get into,I used a box and put them on the ground,I put them on my bed,1,2,[-3.475 -1.29  -0.901 -3.379],2,[-23.622976 -24.32507  -22.290268 -25.603346]
2555,3TZDZ3Y0JS4OKOCWF9YFPNSGQB8194##3JWH6J9I9TBD88WC8JGB2KWXWE3NB1##AJ7NSZOAFP05U##Blog_600929##q1_a1##3PN6H8C9R64BBR1K768AEISHERHDAN,"I got home and had to take J to work for 4 ish , so back to town I went . This evening I went outside and worked on the outhouse and did a bit in the garden too ; until the mosquitoes started making me crazy . Today we got an email from a friend .",What may have been your reason for going back to town ?,I went to town so I could get away from the mosquitoes .,I had to work on the outhouse .,I had to go to my job and work .,None of the above choices .,3,2,[-2.389  -1.897   0.9023 -3.465 ],0,[-22.82101  -28.749043 -24.856285 -26.905296]
2559,3BDORL6HKMRT5GHN9LZLP2Z9SVWCRW##3MX2NQ3YCC9VQBSETCO7PYBCROKX5V##A29RROPO0Z90XV##Blog_1307576##q1_a2##3YO4AH2FPFY9ZN77KQH1PBN3OIQQ06,"I ' ve been to a fair number of bar / bat mitzvahs before , but I think they were all in Reform temples , with a lot of English . This was a good deal more conservative , and * very * Hebrew - heavy , with just a bit of leavening of English , and instructions from the Rabbi to now flip to page 306 . ( Those of us who did n't know the liturgy were page - flipping frantically as it bounced around .",Where will they go after the bat mitzvah ?,They will go to the temple for the ceremony .,They will go to a   nice reception .,None of the above choices .,They will arrive at the temple for the ceremony .,1,3,[ 1.974  -0.9604 -1.533   2.531 ],3,[-23.988155 -23.394825 -26.706722 -21.153618]
2576,3BC9H1KCYUAWMQ07K9FGHUB1VC3WYI##3SKRO2GZ72PBN4TH99V64G2KEJPK1E##A2LTOS0AZ3B28A##Blog_230868##q2_a1##3OID399FXIL67IISIMU2SJ38BXFFD3,"So my son and I were both sick as dogs yesterday . If there 's one thing worse than being a sick mom , it 's being a sick mom with a sick kid . But he was a trooper .",What will happen since both of them are sick ?,The trooper helped the mother and son while they were sick .,The sick dogs vomitted everywhere .,None of the above choices .,The mom could n't give her son medicine .,3,2,[-1.244 -4.766 -1.11  -1.445],0,[-16.962248 -30.590096 -24.980297 -21.074295]
2582,33BFF6QPI3PA0C2QFMYQJY3WFOL3WY##31UV0MXWNTRY0G3JUQO6MOOX54VI5J##A2KYOM2ZGYDJGT##Blog_1384143##q1_a1##32LAQ1JNTB327PBFZ1PGJNMXOHHTUK,"I did n't think that that night would be the best night that we ever spent together . When he picked me up from my house , he then drove me to his house and began to talk . He asked me what I wanted from him and the only thing that I did want from him was just that . Was HIM !",What 's a possible reason he asked the writer what she wanted from him ?,Because he actually did n't know what she wanted .,Because he began to talk .,None of the above choices .,Because that was the best night they ever spent together .,0,2,[-4.72  -6.273 -2.127 -6.004],2,[-30.367561 -31.396406 -25.246994 -25.439976]
2585,3B9XR6P1WG9TXN64NGUHCR70YSIBJ8##3NG53N1RLYY94K9P5JLT75Z0NYTP8G##AO33H4GL9KZX9##Blog_923062##q1_a1##3HFWPF5AKBXHTVLHVHOPM90B97P3SB,"My plan was to focus all of my energy into gaining work experience and developing a skill set that would enable me to get a job in sync with my education . Like a chode , I believed that if I put my head down , worked hard and earned my place in the world , women would see my value and line up to date me . After all , I rationalized , women only like guys with money , fame or good looks - and I sure as hell was n't famous or good looking ! I ' m telling you now : I WAS WRONG !",What might have happened that made me realize I was wrong about women ?,i might have realized women were willing to date me even though I was broke .,I might have realized women were just not willing to date me,I might have realized women were not willing to date me even though I was broke,I might have realized women just did n't like me,0,1,[-1.116   -0.05698 -0.792   -2.805  ],1,[-26.772964 -16.881512 -18.871267 -19.52745 ]
2606,3JU8CV4BRLAU83Z420SNN953OJTOPO##382M9COHEIDOA1S5FBUNHNUC7ILUEY##A1OPGPTQJ48XOY##Blog_250238##q1_a1##3XT3KXP241CRW05397S9PA68AB4I65,"When I was small , we 'd shop at Friendly Fruit and they had these bins of chocolate . My mom would but maple filled cremes , orange filled cremes and raspberry cremes . Ugh so good . What are your feelings about orange soda ?",What would you do if you happened to come across a Friendly Fruit now as an adult ?,I would not go inside because chocolate causes me to gain a lot of weight,I would pick up some fruit but avoid the chocolates because I can not afford to eat too many candies,I would go straight to those chocolate bins to pick up some of the creme filled chocolates to eat,I would buy some of the chocolates for my mom because I am sure she will remember them well,2,3,[-2.984  -2.402  -3.107   0.5586],3,[-27.655025 -23.634912 -22.04152  -21.081474]
2610,3P4C70TRMTVVJU2F6NY8THBPLRHLG0##3U088ZLJVN8H641NM1M96K1E4ZGW02##A394JO4NEPCY3M##Blog_1099909##q1_a2##3XT3KXP241CRW05397S9PA68AGF6IE,"Sam and Ryan were left in the dust and Sam started wailing . JoLynn Washington , the principal , stood in front of the school , greeting students : "" Hello , Alice ! Hi Kate ! "" And then JoLynn hollered , "" Is that Sam I hear crying ? """,what might be different if Sam was n't left in the dust ?,They would be crying,The principal would n't hear them crying,The principal would hear them crying,None of the above choices .,1,0,[-1.22  -2.676 -3.195 -2.91 ],2,[-20.14755  -21.403599 -19.040531 -24.717361]
2621,3BC9H1KCYWQBGFZE47RG9SZ9ONUYW9##3ZSY5X72N0QX1PCKPSEE9MPF9PFORI##A394JO4NEPCY3M##Blog_1409751##q1_a1##3VMV5CHJZATJ27AKFW0ZF8L6F9YTGG,"Jank Jr. and Gidget were born in the middle of the night , and Gretchen went straight back to bed immediately , leaving both children on the kitchen floor . Jank had to set up their cribs and put them in there himself . He also had to feed them himself and change their diapers while Gretchen went off to work or to whatever she felt like doing , more often than not .",What might be different if Gretchen did not go right back to bed ?,The children would have been left on the kitchen floor,Jank would have had to feed the children himself,None of the above choices .,Jank would not have had to set up the cribs himself,3,1,[-1.649   0.1613 -2.42   -0.4011],0,[-21.614481 -23.74657  -26.985062 -22.613031]
2623,3MG8450X2QO4FXI8IKGWEDL0ZBAUPO##3B3WTRP3DEHDQIRT8DGVBOMI32T29S##AJ7NSZOAFP05U##Blog_957641##q1_a1##3T2EL38U0OYHWDDIN268YPAEYUGQXG,We moved into a house that had two different phone lines . We canceled one and that line was used in a lot of the rooms of the house . How do I get those phone jacks to work with the one phone line we have now ? I opened up the box outside and there 's a 1 section with a red and green wire and a 2 section with a red and green wire .,What may have caused you to cancel the phone line ?,The phone jacks would n't work .,We had an extra one .,We did n't need one .,We have cell phones .,1,3,[-0.5283  0.2263  1.529   3.365 ],3,[-24.171692 -22.391237 -26.608494 -22.108353]
2629,31HLTCK4BN9YFZE9KR0EGQ9RCPIVGS##31JLPPHS2X95INRIE2DIROMZ44B3OS##A2KYOM2ZGYDJGT##Blog_1141424##q1_a1##3A3KKYU7P5VBMYA0L435FXC2FRRMWA,So I am back ! ! ! And right now I do n't even have any friends but it feels so good to write and not have to hold back ! ! So my life is great right now ! ! I am just trying to work on me right now !,Why do n't I have friends ?,It feels so good to write,None of the above choices .,I am back .,My life is great right now,1,2,[-3.703  -0.2668  0.1306 -5.03  ],2,[-24.680592 -25.696207 -24.097233 -29.125397]
2636,338GLSUI439XFI23VEDRVK10J9FFST##3AMYWKA6YCKPKHFTD7ZG6TAA8MVO6S##A33PQXKQHFVF3V##Blog_1363740##q1_a1##3VGET1QSZ2DS1V3DHY1GWFFCKZHW7O,"She was a little hard to understand because she 's got a very heavy Japanese accent . She had fun at the farmer 's market because she met another Japanese lady ( one of the vendors ) , who invited her out to her farm . Chris said I did good because afterward she referred to me by my name rather than "" that girl "" ... :) Silly , silly boy . Tonight I ' m supposed to hang out with a couple friends from high school . This weekend is our reunion , but none of us want to go , so we thought we 'd just get together for dinner or something .",Why does the lady have such a heavy japanese accent ?,She was trying to fit in at the Japanese fair .,She was just mocking the other lady she spoke with .,She is an immigrant from Japan .,She was trying to immerse herself in Japanese culture .,2,3,[ 0.6284 -1.482   3.713   3.83  ],3,[-25.604597 -26.304203 -19.421183 -16.769968]
2651,3T6EIBTM9LMYJVZ13Y58WJW308HAA7##34YB12FSQZM3H7JNC4TPQGYU5ZYGMI##A1I72NHC21347A##Blog_717374##q2_a1##3O71U79SRD3IFHTR1ZT4I89H94GMSW,"Woo , internet at the mall . I was afraid I would n't be able to connect to the network -- I get at least three guests a week who can not for the life of them figure out how to connect -- but it was easy . Set up a new network connection , put in the network 's name , set the security to No Encryption ( Open ) , and voila !",What may happen if the network had security encryption ?,None of the above choices .,I would set security to ' no encryption ' and connect,we would all be able to connect to network,I would connect to the network,0,2,[-0.7295 -0.6978  0.1661 -1.459 ],2,[-26.653305 -27.976374 -26.238222 -27.503748]
2658,3EGKVCRQFY6JSC139GVKMEMOEOXYBI##3FQ5JJ512O3TW0ZDYT54TL3WOT5KN7##A2KYOM2ZGYDJGT##Blog_884256##q1_a1##362E9TQF2J4TTTU9LK1V11JX4SMGIQ,"Let me tell you that the other AmeriCorps members were amazing ! Although we only spent a week together training , we really came together as a family , and its nice knowing that you have a support group that will be doing the same thing as you . Also , St. Louis is a pretty cool city , especially the arch ! As silly as it seems , it was cool going up there , and then checking out the museum downstairs . So I flew into Detroit last Saturday , and it was rainy and gloomy .",What 's a possible reason the writer flew into Detroit last Saturday ?,Because St. Louis is a pretty cool city .,Because they live in Detroit .,None of the above choices .,Because it was rainy .,1,3,[-6.273 -3.906 -4.086 -2.027],2,[-29.496597 -27.80484  -26.689278 -31.08852 ]
2666,3CVBMEMMXBEVAG9H213G3EHHCWM7HB##33FOTY3KENJT46HTHWE8GXPCA30C10##AO33H4GL9KZX9##Blog_1245107##q1_a1##3YGYP13643NCWKEEYB8Z5DTLSSBNRD,"Run in circles , scream and shout ! And I ' m going blank what book I read that in . Too much going through my mind ! And all I did was go rollerblading with a friend out in the boonies . O.o Well ... that and make a brief appearance at work just to get annoyed at it being the 2nd Thursday in a row with weird issues popping up . I hope I ' m able to sleep tonight .",What kind of work must I have ?,I must have the type of work where I can must work briefly ..,None of the above choices .,I must have the type of work where I can just briefly show up .,I must have the type of work where I can must briefly show up .,2,3,[-5.297 -2.262 -3.29  -1.551],3,[-29.962952 -27.439669 -28.95089  -26.904764]
2678,3TKXBROM5VO3KVKATQMYYEBDVYLIJ5##3180JW2OT7RUVRNPC896YP3XFC55JM##AO33H4GL9KZX9##Blog_1394344##q1_a1##3L55D8AUFCB22HT9NGRFXYS6WDPCY3,"But then , "" related but distant "" describes my family perfectly . Most of my mother 's family is dead , including both of her parents . She has one full sister left , a couple half ones , a nephew , and a few distant cousins . That is the sum of the Ashe family tree , which actually now lacks the surname .",Why might I think the Ashe family lacks the surname now ?,It might be possible that all the female members took up their own surnames .,It might be possible that all the males members took up their own surnames .,It might be possible that all the males members took up their wife 's surnames .,None of the above choices .,3,0,[8.18  7.793 6.58  1.314],1,[-25.040691 -24.670654 -25.71531  -24.908321]
2681,3KI0JD2ZU1GFDRP06ICC6NSR3TH676##3YZ8UPK3VUK9D38RJKOSRZU9MLZUCQ##A394JO4NEPCY3M##Blog_1206969##q1_a1##311HQEI8RUUWVQ8ISLLNVJ9U11Z7Z3,I never knew that others did n't have the same kind of experiences or feel the same way . I thought everyone felt as happy as I did . I was one of the leadoff hitters for the Baby Boomer Generation having been born in 1947 .,What is probably true about the narrator ?,They are feeling depressed,They are a millenial,They are not feeling depressed,They believe that everyone is a bit depressed,2,1,[-5.246  9.7    2.527 -3.82 ],1,[-25.712784 -18.529627 -23.631657 -27.817146]
2688,3NZ1E5QA6ZZ6WZSCEGENJJ0NQOX5BB##3ON104KXQLUJA3KHL5XBQP3IFSB4WC##A2KYOM2ZGYDJGT##Blog_940540##q1_a1##301KG0KX9EZ3I4BIGNYLZLOHUVW2HS,"At this point in my life , I do n't know if I want to have another child . I am very happy with the one child I have . I am very busy with my business , and I refuse to put my son in child care . If I did have another child my business would surely have to stop .",What 's a possible reason the writer does n't want to have another child ?,None of the above choices .,They need to stop their business .,They are at a point in their life .,She is busy with other things .,3,2,[-1.588 -2.326  1.984 -3.06 ],2,[-23.337097 -26.97447  -12.271099 -14.011914]
2690,3JYPJ2TAYI602QMB3X9X0FWPW4AFP9##36AHBNMV1SA0Z4YATHGSEQI41WOYD2##AO33H4GL9KZX9##Blog_788921##q1_a1##3LCXHSGDLVKK3T1EK15L50480ZAESE,"The other night I sat in the recliner with my two babies and rocked them until they fell asleep . Times like those are extra precious moments , because as they grow , it is becoming a more and more rare occasion to have both of them in my arms for more than twenty seconds at a time . So , I was not about to pass up this chance to just soak them up for a while .",Why might I have hard time keeping both babies in my arms at the same time ?,Because babies fidget but want to stay in her arms .,Because babies fight and want to get loose .,Because babies fight and want to stay in her arms,Because babies fidget and want to get loose .,3,0,[ 0.1725 -4.54   -1.808  -0.6084],0,[-22.674772 -29.183535 -24.615042 -24.265099]
2698,3GONHBMNHVW0M4GYCTBCM3IC3ADMZ4##3YDTZAI2WYEQ924EOH8QXZDOHNU14G##A2CMYWI1J292YJ##Blog_1331808##q2_a1##3126F2F5FAHNQ1LMSK1RAVZXDIJEPK,[ 12 ] Where was your FIRST sleep over?No idea ... maybe my cousin Amy 's house ? [ 13 ] Who was the FIRST person you talked to today?The cat . [ 15 ] What was the FIRST thing you did this morning?Fed the cat then did a wee .,What did I do before going to Amy 's house ?,I asked Amy out .,None of the above choices .,I put my cat in its cage .,I got my parents ' permission .,3,0,[-0.5835 -2.96   -3.107  -5.934 ],2,[-28.429825 -26.996965 -26.620184 -28.150799]
2702,3GMLHYZ0LGBYOBA997CFR4EC37JYUA##3OLF68YTNCGBWVDAOE92R2RRHL5AFH##A2KYOM2ZGYDJGT##Blog_1353049##q1_a1##356ZPKYPUJVLW62DSLDLHYRDV23YPE,I know it is not a huge accomplishment but it is really something new to me and one of the first times i really did something from scratch and not prepackaged . After the gym this evening I came home and cooked my own dinner . I have only started to cook when i moved to JC a little bit more than a year ago .,Why was the writer at the gym ?,Because it 's not a huge accomplishment .,Because they did something from scratch .,Because it 's something new to them .,None of the above choices .,3,2,[-6.86  -6.727 -2.887 -4.887],2,[-31.11583  -29.621391 -26.51694  -26.88519 ]
2703,34HEO7RUG6SQICLI59RUR9LD0G7ARP##32M8BPYGAUKHLOTWRPVXYNRDPD7GI6##A1OPGPTQJ48XOY##Blog_156608##q1_a1##31ODACBENWT90WRJTS0LZHTMJ9ASQU,"Think I 'll have any luck this time ? I doubt it . Also at work today . Injured pigeon none of us soft - hearted rangers wanted to kill , tree fell on a member of public 's car , there 's litter all over the place at my park , as ever , and we have no money to do anything . Its a good thing I love my job .",What might happen if you did not love your job ?,I would be willing to put in my resignation and take a break,I would stick it out with my company still just to see if things change,I would consider not working for a while because there are so many issues at work,I would consider looking for another job and moving to a different company,3,2,[-2.098 -3.252 -1.091 -4.266],2,[-20.471317 -24.917637 -17.389349 -18.048347]
2704,3RHLQY6EDVIW92L3Y5YJ1F6HMD64DG##32UTUBMZ7JB5B24SU7E24ZEJOORBVX##AJ7NSZOAFP05U##Blog_1521847##q1_a1##30OITAWPBSHEIOWH1WD098WV0489HZ,"Thank goodness the nice editor at Pink Raygun caught it . She laughed at me . I ' m so embarrassed . I feel like a poser -- being all YAY and being totally wrong . We just watched Tron , too .",What may have caused the editor to laugh at you ?,She noticed that I was incorrect .,"I was being all "" yay "" about Tron .",She laughed because she was embarrassed .,She noticed that she was incorrect .,0,3,[ 4.004  -2.672  -0.7593  5.445 ],3,[-15.348639 -23.039452 -26.205006 -15.185995]
2706,3WYZV0QBFLRUS7BT4K9I30FFCNZBXV##34S6N1K2ZYYC6AVKGVMS31JFSBPHLB##A394JO4NEPCY3M##Blog_1032787##q1_a1##3V8JSVE8Y04HZFDNJ7XANMS9HX1EYD,I agreed because who would n't want to spend more time with a cute Italian man . We left Mansion around 4 in the morning and as we were driving home Marc says that it was a good thing Stephanie did n't come to the club because she would have been disgusted . I immediately got embarrassed because that meant he had been watching me the entire night .,What might be different if stephanie had come to the club ?,The narrator would have been embarrassed,The narrator would have spent time with a cute male,None of the above choices .,She would not have been disgusted,2,0,[ 0.44   -1.144  -1.911  -0.6455],0,[-16.754667 -19.96407  -24.556246 -20.219152]
